"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2012","188.24","188.04","188.81","186.32","637.98K","-0.41%"
"01/24/2012","189.02","184.23","189.25","184.23","633.90K","1.86%"
"01/23/2012","185.56","181.99","185.71","181.63","708.45K","1.50%"
"01/20/2012","182.82","184.75","186.59","180.83","1.28M","-2.52%"
"01/19/2012","187.54","187.00","187.80","181.05","919.25K","-0.14%"
"01/18/2012","187.80","187.50","188.75","185.61","720.78K","0.18%"
"01/17/2012","187.46","188.62","190.40","186.92","1.34M","0.48%"
"01/13/2012","186.57","185.74","186.92","184.40","911.87K","-0.26%"
"01/12/2012","187.06","186.91","187.17","182.26","632.58K","1.73%"
"01/11/2012","183.87","182.03","184.10","179.04","534.72K","0.43%"
